faceit_nickname,faceit_player_id,country,status,role,season8_matches,current_faceit_level,current_faceit_elo,faceit_tracker_highest_elo,known_peak_elo,lifetime_faceit_matches,AIM,IMP,UTL,CON,INT,EXP,OVERALL,BASE_OVERALL,CONTEXT_MULT,RATING_NORM,OPP_ELO_AVG,ADR_norm,HS_norm,KR_norm,RoundSwing_avg,UtilSuccess_norm,UtilDamageRound_norm,FlashSuccess_norm,EnemiesFlashedRound_norm,CON_raw,INT_score_1v1,INT_score_1v2
remix1990,72ed8b73-22bc-41cc-b3c5-68b8b20fb356,pt,INACTIVE,RIFLER,16,9,1841,2132,2132,3167,0,0,0,0,0,0,0,0.0,0.0,0.0,1912,0.0,0.0,0.0,-0.015252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AshFxLL,dd19c0cd-5d7d-4961-9a8d-1b9fb0715b05,br,INACTIVE,ENTRY,3,9,1921,1934,1934,1173,0,0,0,0,0,0,0,0.0,0.0,0.0,1879,0.0,0.0,0.0,0.000546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3S4D3L8,f9a6f8ee-6868-4b18-9a57-dacb738f7588,ch,INACTIVE,RIFLER,2,8,1564,1807,1807,2265,0,0,0,0,0,0,0,0.0,0.0,0.0,1636,0.0,0.0,0.0,-0.000858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nilove2Bala,a86d2f09-9ac3-4c78-8cc5-b8705d8e5145,pt,INACTIVE,AWPER,1,10,2248,2294,2294,1798,0,0,0,0,0,0,0,0.0,0.0,0.0,2205,0.0,0.0,0.0,-0.004932,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tuca89,6fb741bc-a387-40d6-b24b-29e7d9780853,it,INACTIVE,RIFLER,1,3,891,1052,1052,941,0,0,0,0,0,0,0,0.0,0.0,0.0,1023,0.0,0.0,0.0,-0.012099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_DaN_,22a2b582-3597-45f1-988c-a5377c6118f8,pt,INACTIVE,AWPER,0,10,2112,2282,2282,2635,0,0,0,0,0,0,0,0.0,0.0,0.0,1922,0.0,0.0,0.0,0.011021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K4_k0,408fea6f-b4db-4917-a2d2-a084f0dc72bc,al,INACTIVE,RIFLER,0,8,1542,2127,2127,1342,0,0,0,0,0,0,0,0.0,0.0,0.0,1865,0.0,0.0,0.0,-0.023671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JoVi_,afedb1cf-e7f2-48e8-8730-bd6e468ed1a1,br,INACTIVE,RIFLER,0,8,1666,2222,2222,1242,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-Mazzoni,ae329a5d-6843-4281-b2c3-dae18cbed29f,br,INACTIVE,RIFLER,0,8,1606,2101,2101,1740,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaPesteBr,8153d00d-4e44-4646-89b8-ba79ef302fad,be,INACTIVE,RIFLER,0,9,1861,1901,1901,2131,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BatmanRessac,ae7371e1-ac6b-4238-b2a2-9a40cd0fe722,br,INACTIVE,AWPER,0,9,1753,2163,2163,487,0,0,0,0,0,0,0,0.0,0.0,0.0,1857,0.0,0.0,0.0,-0.023674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
