faceit_nickname,faceit_player_id,country,steam_id_64,cs2_skill_level,cs2_faceit_elo,Average K/D Ratio,ADR,Average Headshots %,Win Rate %,Matches,Total Matches,Wins,Recent Results,Current Win Streak,Longest Win Streak,Average K/R Ratio,Entry Success Rate,Entry Rate,Total Entry Count,Total Entry Wins,Utility Damage per Round,Utility Success Rate,Utility Usage per Round,Flash Success Rate,Flashes per Round,Enemies Flashed per Round,Total Utility Damage,Total Enemies Flashed,Total Flash Successes,Total Flash Count,1v1 Win Rate,1v2 Win Rate,Total 1v1 Count,Total 1v1 Wins,Total 1v2 Count,Total 1v2 Wins,Sniper Kill Rate,Sniper Kill Rate per Round,Total Sniper Kills,Total Damage,Total Rounds with extended stats,Total Kills with extended stats,faceit_round_swing_avg,faceit_round_swing_avg_t,faceit_round_swing_avg_ct,faceit_rating,faceit_rating_t,faceit_rating_ct,total_kills,avg_kills,total_deaths,avg_deaths,total_assists,avg_assists,avg_damage,avg_rws
bomdecama,271b422b-d10d-4f08-8228-97d89d6a9693,fr,76561199156477789,10,2335,1.2,85.78,44.13,51.11,90,90,46,1|0|1|1|1,3,4,0.82,0.5141,0.1707,350,184,3.21,0.2342,0.4042,0.4229,0.3697,0.2328,6601,491,347,774,0.4918,0.1912,61,30,68,13,0.0681,0.057,117,174915,0,1672,0.0049,-0.0022,0.0049,1.1415,1.0922,1.1476,1672,18.58,1462,16.24,433,4.81,1943.5,10.3157
PretinQpisa,51c64cc1-5165-4469-8aaa-6dfc0a4d2eb7,it,76561198295788810,10,2025,1.02,72.76,58.62,49.54,109,109,54,0|1|0|0|0,0,4,0.68,0.5137,0.1836,443,223,4.38,0.2921,0.4484,0.3977,0.4268,0.2486,10781,614,426,1036,0.3438,0.1918,64,22,73,14,0.0417,0.0282,79,175630,0,1644,-0.0322,-0.0292,-0.0346,0.9373,1.03,1.0259,1644,15.08,1735,15.92,449,4.12,1611.28,8.3649
Kazu--,526adf38-3796-490a-bcb4-4ee333d189cc,es,76561198058351109,9,1923,1.21,84.26,49.75,53.85,65,65,35,1|1|0|1|1,2,6,0.77,0.6169,0.1617,229,139,7.36,0.3575,0.5094,0.4209,0.5511,0.3342,10670,491,349,810,0.3095,0.2115,42,13,52,11,0.0392,0.0334,50,121548,0,1113,-0.0006,-0.0094,0.0089,1.0988,1.081,1.1544,1113,17.12,967,14.88,383,5.89,1869.97,10.004
SPAN1SH,549e5417-cf4a-45f3-be20-6db6440f98d1,br,76561199134123699,10,2155,1.39,84.14,40.65,65.38,26,26,17,0|0|1|1|0,0,6,0.77,0.6119,0.1665,98,60,5.32,0.2885,0.4727,0.4054,0.2781,0.1631,3251,97,75,170,0.2778,0.15,18,5,20,3,0.0227,0.0165,9,49907,0,452,0.0169,0.0249,0.011,1.2212,1.2119,1.1754,452,17.38,384,14.77,130,5.0,1919.5,11.2791
Tatuox,f0b25e08-7b62-4a78-8eb6-f7988459ae3c,br,76561198826073463,9,1751,1.13,81.08,50.23,47.92,96,96,46,0|0|0|0|0,0,5,0.74,0.5228,0.1696,361,186,6.0,0.4224,0.4514,0.5458,0.6631,0.5458,13100,1154,770,1397,0.3636,0.1818,66,24,77,14,0.0999,0.0753,159,171665,0,1546,0.0123,0.0077,0.0239,1.1903,1.1282,1.1965,1546,16.1,1491,15.53,574,5.98,1788.18,10.3038
D4rl1ng,b280f755-1faf-4906-b184-3f8638211d03,br,76561198286048324,8,1728,1.01,74.47,56.47,40.0,85,85,34,0|0|0|0|0,0,4,0.69,0.4308,0.1686,309,145,4.9,0.294,0.3669,0.4993,0.6531,0.4973,9189,914,594,1211,0.4038,0.2353,52,21,68,16,0.0213,0.0148,28,137032,0,1280,0.0021,-0.0095,0.0088,1.1183,1.0925,1.1271,1280,15.06,1330,15.65,372,4.38,1612.14,9.2961
dLGxD,ea2b4261-fc10-4766-bd22-e6329eafc5b4,pt,76561198240245058,5,1162,0.88,65.04,42.51,41.43,70,70,29,0|1|0|0|0,0,4,0.6,0.4523,0.1337,199,89,4.7,0.3447,0.4171,0.4216,0.295,0.1746,7318,267,199,451,0.359,0.1176,39,14,51,6,0.0126,0.0054,7,99095,0,907,-0.0243,-0.0321,-0.0181,0.976,1.0282,1.0816,907,12.96,1110,15.86,290,4.14,1415.64,8.1458
remix1990,72ed8b73-22bc-41cc-b3c5-68b8b20fb356,pt,76561198003353395,9,1841,1.11,75.9,56.19,56.25,16,16,9,1|0|1|0|0,0,3,0.73,0.5406,0.1487,52,31,7.23,0.3912,0.5069,0.5506,0.3513,0.2556,2654,89,69,122,0.6,0.0,5,3,9,0,0.0025,0.0031,1,26030,0,247,-0.0058,-0.0129,0.0006,1.0832,1.0926,1.1323,247,15.44,237,14.81,67,4.19,1626.88,10.113
sykesssssss,bcb98795-f93f-4d8e-b38b-6e1640ffe8f9,br,76561198137393605,8,1738,1.09,78.64,54.17,43.75,96,96,42,1|0|0|0|0,0,5,0.72,0.5097,0.2,436,224,3.45,0.3184,0.3337,0.423,0.4127,0.2574,7508,565,393,897,0.4286,0.1833,42,18,60,11,0.0164,0.0121,22,170661,0,1566,-0.0126,-0.0144,-0.0116,1.0453,1.0702,1.0901,1566,16.31,1531,15.95,512,5.33,1777.72,9.4165
DigdiM--,5e05d14f-9f46-4c31-831b-9e60ccdb63a5,br,76561198844171212,9,1841,1.17,81.8,44.87,46.07,89,89,41,1|0|0|1|1,2,5,0.78,0.4908,0.2391,489,240,3.29,0.3082,0.3569,0.4184,0.4191,0.2606,6766,532,365,854,0.3846,0.1379,52,20,58,8,0.1863,0.1584,343,165144,0,1585,0.012,0.0164,0.0133,1.1915,1.1368,1.1592,1585,17.81,1448,16.27,387,4.35,1855.55,10.8398
