faceit_nickname_input,faceit_nickname_official,faceit_player_id,country,steam_id_64,steam_nickname,cs2_skill_level,cs2_faceit_elo,cs2_game_player_id,cs2_game_player_name,avatar,faceit_url,activated_at,highest_lifetime_faceit_level,lifetime_faceit_matches,highest_lifetime_faceit_elo,faceit_tracker_highest_elo,peak_elo_source,peak_elo_updated_at,peak_elo_url_nickname
PretinQpisa,PretinQpisa,51c64cc1-5165-4469-8aaa-6dfc0a4d2eb7,it,7.656119829578882e+16,preto q pisa,10.0,2258.0,7.656119829578882e+16,Aquariano NATO,https://distribution.faceit-cdn.net/images/f811075e-4931-463f-94f0-bf4e02cc1fdd.jpg,https://www.faceit.com/{lang}/players/PretinQpisa,2020-02-21T19:39:58.076Z,10,2408,2258,2300,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
Kazu--,Kazu--,526adf38-3796-490a-bcb4-4ee333d189cc,es,7.65611980583511e+16,💎KazuStore B/S ONLINE 24/7,9.0,1923.0,7.65611980583511e+16,KazuGOD,https://distribution.faceit-cdn.net/images/ff81399a-4fc8-4041-9f96-da30459a8ce8.jpg,https://www.faceit.com/{lang}/players/Kazu--,2016-04-08T10:19:38.304Z,9,5896,1923,2513,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,Kazu--
SPAN1SH,SPAN1SH,549e5417-cf4a-45f3-be20-6db6440f98d1,br,7.65611991341237e+16,SPAN1SH,10.0,2002.0,7.65611991341237e+16,SPAN1SH,https://distribution.faceit-cdn.net/images/657721e5-f7bf-4b39-879f-f1899b82aeb2.jpg,https://www.faceit.com/{lang}/players/SPAN1SH,2022-01-28T09:44:37.031Z,10,1577,2002,2178,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,SPAN1SH
Tatuox,Tatuox,f0b25e08-7b62-4a78-8eb6-f7988459ae3c,br,7.656119882607346e+16,Tatuoxx ♿,9.0,1875.0,7.656119882607346e+16,Tatuox 99 in 4 hits♿,https://distribution.faceit-cdn.net/images/39cb1f60-3869-4f51-8946-0e1b55f91b3b.jpg,https://www.faceit.com/{lang}/players/Tatuox,2019-03-14T23:50:17.689Z,9,1022,1875,2175,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
D4rl1ng,D4rl1ng,b280f755-1faf-4906-b184-3f8638211d03,br,7.656119828604832e+16,-Darling,9.0,1814.0,7.656119828604832e+16,XfeCT,https://distribution.faceit-cdn.net/images/5a387da4-0cb3-48ff-9d89-59254248635f.jpeg,https://www.faceit.com/{lang}/players/D4rl1ng,2016-06-24T13:27:57.744Z,9,5094,1814,2266,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,D4rl1ng
dLGxD,dLGxD,ea2b4261-fc10-4766-bd22-e6329eafc5b4,pt,7.656119824024506e+16,DEEHLEGE,6.0,1264.0,7.656119824024506e+16,DEEHLEGE,https://distribution.faceit-cdn.net/images/fc810ccb-90fd-44c8-80fb-e3ad28ada92e.jpg,https://www.faceit.com/{lang}/players/dLGxD,2017-06-22T23:32:17.345Z,6,1252,1264,1464,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
remix1990,remix1990,72ed8b73-22bc-41cc-b3c5-68b8b20fb356,pt,7.656119800335339e+16,Remix,9.0,1893.0,7.656119800335339e+16,Remix,https://assets.faceit-cdn.net/avatars/72ed8b73-22bc-41cc-b3c5-68b8b20fb356_1550619488261.png,https://www.faceit.com/{lang}/players/remix1990,2015-05-01T09:37:28.223Z,9,3153,1893,2132,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,remix1990
sykesssssss,sykesssssss,bcb98795-f93f-4d8e-b38b-6e1640ffe8f9,br,7.65611981373936e+16,Sykes,9.0,1759.0,7.65611981373936e+16,Mestusion Sykes,https://distribution.faceit-cdn.net/images/866c3f3f-6097-4214-a7ef-635b33f6dee1.jpg,https://www.faceit.com/{lang}/players/sykesssssss,2019-04-26T22:52:46.829Z,9,1340,1759,2041,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
DigdiM--,DigdiM--,5e05d14f-9f46-4c31-831b-9e60ccdb63a5,br,7.656119884417122e+16,D I G D I M,8.0,1745.0,7.656119884417122e+16,D I G D I M,https://distribution.faceit-cdn.net/images/5a998d17-54f4-4b5b-869c-1d331af72cdd.jpg,https://www.faceit.com/{lang}/players/DigdiM--,2018-06-26T16:45:59.098Z,8,1424,1745,2361,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,DigdiM--
JoVi_,JoVi_,afedb1cf-e7f2-48e8-8730-bd6e468ed1a1,br,7.656119806708342e+16,Kämpfen,8.0,1666.0,7.656119806708342e+16,JoVi,https://distribution.faceit-cdn.net/images/f135f658-f9e4-41c2-9965-0dc300eb53b3.jpeg,https://www.faceit.com/{lang}/players/JoVi_,2015-05-09T15:01:39.098Z,8,1242,1666,2222,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
Mike7th,Mike7th,4fa7ebe1-6ede-4a90-b975-b8ebc8a781f0,br,7.656119949117982e+16,Mike Littlemess,6.0,1331.0,7.656119949117982e+16,Mike,https://distribution.faceit-cdn.net/images/3b909db8-6374-457c-b710-812aba0ab900.jpeg,https://www.faceit.com/{lang}/players/Mike7th,2023-05-28T11:41:34.303Z,6,302,1331,1620,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
-Mazzoni,-Mazzoni,ae329a5d-6843-4281-b2c3-dae18cbed29f,br,7.656119827927733e+16,Ted Mosby,8.0,1606.0,7.656119827927733e+16,Ted Mosby,https://distribution.faceit-cdn.net/images/3d4a639e-f0be-4d4d-89b0-b6bda53be3c7.jpg,https://www.faceit.com/{lang}/players/-Mazzoni,2020-11-19T22:36:24.178Z,8,1740,1606,2101,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
LaPesteBr,LaPesteBr,8153d00d-4e44-4646-89b8-ba79ef302fad,be,7.656119840485322e+16,LaPesteBr,9.0,1861.0,7.656119840485322e+16,LaPesteBr,https://distribution.faceit-cdn.net/images/89ab6802-dca2-4dfb-b4d9-c724e326bde3.jpeg,https://www.faceit.com/{lang}/players/LaPesteBr,2018-08-23T21:13:07.643Z,9,2131,1861,1901,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
bnilgame,bnilgame,e039371d-f876-464b-a7e7-9d5134f6e21c,br,7.656119836723336e+16,BnilgameBRAZIL,6.0,1231.0,7.656119836723336e+16,Bnilgame,https://distribution.faceit-cdn.net/images/82118b8e-7245-4132-80cd-279895037317.jpg,https://www.faceit.com/{lang}/players/bnilgame,2022-08-28T21:57:09.992Z,6,295,1231,1556,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
SALAZARR-,SALAZARR-,70f82a2d-d863-4763-b18a-faa1cee4f713,ie,7.65611988618238e+16,donkdoCVRL,9.0,1953.0,7.65611988618238e+16,CR7 DO RODO,https://distribution.faceit-cdn.net/images/b6eb0d9f-61e7-4f8a-b7fc-bcb8330f0f6a.jpg,https://www.faceit.com/{lang}/players/SALAZARR-,2019-03-28T03:59:06.041Z,9,1276,1953,2315,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,SALAZARR-
tuca89,tuca89,6fb741bc-a387-40d6-b24b-29e7d9780853,it,7.656119796757242e+16,tuca,3.0,891.0,7.656119796757242e+16,tuca,https://distribution.faceit-cdn.net/images/629503d9-da0e-430f-9453-563205671e68.jpeg,https://www.faceit.com/{lang}/players/tuca89,2021-03-28T07:50:28.104Z,3,939,891,1052,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
BatmanRessac,BatmanRessac,ae7371e1-ac6b-4238-b2a2-9a40cd0fe722,br,7.656119830685075e+16,✪ Batman D. Ressaca ✪,9.0,1903.0,7.656119830685075e+16,✪ Batman D Ressaca ✪,https://distribution.faceit-cdn.net/images/996962fc-53eb-4b8b-b26e-70472f83665e.jpg,https://www.faceit.com/{lang}/players/BatmanRessac,2020-03-30T00:35:23.525Z,9,487,1903,2163,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
raphash0w,raphash0w,7e1681ad-280a-4ade-90c5-a01c811e456c,br,7.656119798933845e+16,raphash0w,10.0,2107.0,7.656119798933845e+16,raphash0w,https://distribution.faceit-cdn.net/images/d5436f89-5bb9-4448-8fc0-80a6e190d4c3.jpeg,https://www.faceit.com/{lang}/players/raphash0w,2015-06-15T15:43:19.031Z,10,3978,2107,2719,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
w1ickd,w1ickd,498970e7-b8f1-45b4-92b1-2fffbc932d9a,nl,7.65611980751898e+16,wicked,9.0,1846.0,7.65611980751898e+16,wickd,https://distribution.faceit-cdn.net/images/b32e36ff-2f95-44d2-a7a4-16ae7c633f51.jpg,https://www.faceit.com/{lang}/players/w1ickd,2014-11-24T17:20:53.536Z,9,378,1846,2019,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
fbr,fbr,0be3b3ec-babb-4743-8e90-0c58a4f13cf8,ir,76561197966572207,éfbiar,10,2168,76561197966572207,fbr,https://distribution.faceit-cdn.net/images/a3471a6c-c861-460d-b8c5-1648d469d6a9.jpg,https://www.faceit.com/{lang}/players/fbr,2016-09-07T20:57:51.841Z,0,1863,0,2664,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,fbr
