faceit_nickname_input,faceit_nickname_official,faceit_player_id,country,steam_id_64,steam_nickname,cs2_skill_level,cs2_faceit_elo,cs2_game_player_id,cs2_game_player_name,avatar,faceit_url,activated_at,highest_lifetime_faceit_level,lifetime_faceit_matches,highest_lifetime_faceit_elo,faceit_tracker_highest_elo,peak_elo_source,peak_elo_updated_at,peak_elo_url_nickname
Kazu--,Kazu--,526adf38-3796-490a-bcb4-4ee333d189cc,es,76561198058351109,💎KazuStore B/S ONLINE 24/7,9,1923,76561198058351109,KazuGOD,https://distribution.faceit-cdn.net/images/ff81399a-4fc8-4041-9f96-da30459a8ce8.jpg,https://www.faceit.com/{lang}/players/Kazu--,2016-04-08T10:19:38.304Z,9,5896,1923,2513,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,Kazu--
SPAN1SH,SPAN1SH,549e5417-cf4a-45f3-be20-6db6440f98d1,br,76561199134123699,SPAN1SH,10,2155,76561199134123699,SPAN1SH,https://distribution.faceit-cdn.net/images/657721e5-f7bf-4b39-879f-f1899b82aeb2.jpg,https://www.faceit.com/{lang}/players/SPAN1SH,2022-01-28T09:44:37.031Z,10,1606,2177,2178,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,SPAN1SH
Tatuox,Tatuox,f0b25e08-7b62-4a78-8eb6-f7988459ae3c,br,76561198826073463,Tatuoxx ♿,9,1751,76561198826073463,Tatuox 99 in 4 hits♿,https://distribution.faceit-cdn.net/images/39cb1f60-3869-4f51-8946-0e1b55f91b3b.jpg,https://www.faceit.com/{lang}/players/Tatuox,2019-03-14T23:50:17.689Z,9,1071,1795,2175,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
D4rl1ng,D4rl1ng,b280f755-1faf-4906-b184-3f8638211d03,br,76561198286048324,-Darling,8,1728,76561198286048324,XfeCT,https://distribution.faceit-cdn.net/images/5a387da4-0cb3-48ff-9d89-59254248635f.jpeg,https://www.faceit.com/{lang}/players/D4rl1ng,2016-06-24T13:27:57.744Z,9,5130,1703,2266,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,D4rl1ng
dLGxD,dLGxD,ea2b4261-fc10-4766-bd22-e6329eafc5b4,pt,76561198240245058,DEEHLEGE,5,1162,76561198240245058,DEEHLEGE,https://distribution.faceit-cdn.net/images/4475e9c5-8f39-44c5-adbd-e3f36c6f2440.jpg,https://www.faceit.com/{lang}/players/dLGxD,2017-06-22T23:32:17.345Z,6,1277,1123,1464,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
remix1990,remix1990,72ed8b73-22bc-41cc-b3c5-68b8b20fb356,pt,76561198003353395,Remix,9,1841,76561198003353395,Remix,https://assets.faceit-cdn.net/avatars/72ed8b73-22bc-41cc-b3c5-68b8b20fb356_1550619488261.png,https://www.faceit.com/{lang}/players/remix1990,2015-05-01T09:37:28.223Z,9,3167,1944,2132,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,remix1990
sykesssssss,sykesssssss,bcb98795-f93f-4d8e-b38b-6e1640ffe8f9,br,76561198137393605,Sykes,8,1738,76561198137393605,Mestusion Sykes,https://distribution.faceit-cdn.net/images/866c3f3f-6097-4214-a7ef-635b33f6dee1.jpg,https://www.faceit.com/{lang}/players/sykesssssss,2019-04-26T22:52:46.829Z,9,1364,1690,2041,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
DigdiM--,DigdiM--,5e05d14f-9f46-4c31-831b-9e60ccdb63a5,br,76561198844171212,D I G D I M,9,1841,76561198844171212,D I G D I M,https://distribution.faceit-cdn.net/images/4bc640c4-ba7c-44ea-b317-8ee7e5d83a80.jpg,https://www.faceit.com/{lang}/players/DigdiM--,2018-06-26T16:45:59.098Z,8,1474,1816,2361,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,DigdiM--
JoVi_,JoVi_,afedb1cf-e7f2-48e8-8730-bd6e468ed1a1,br,76561198067083417,Kämpfen,8,1666,76561198067083417,JoVi,https://distribution.faceit-cdn.net/images/f135f658-f9e4-41c2-9965-0dc300eb53b3.jpeg,https://www.faceit.com/{lang}/players/JoVi_,2015-05-09T15:01:39.098Z,8,1242,1666,2222,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
Mike7th,Mike7th,4fa7ebe1-6ede-4a90-b975-b8ebc8a781f0,br,76561199491179823,Mike Littlemess,7,1465,76561199491179823,Mike,https://distribution.faceit-cdn.net/images/3b909db8-6374-457c-b710-812aba0ab900.jpeg,https://www.faceit.com/{lang}/players/Mike7th,2023-05-28T11:41:34.303Z,6,320,1416,1620,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
-Mazzoni,-Mazzoni,ae329a5d-6843-4281-b2c3-dae18cbed29f,br,76561198279277334,Ted Mosby,8,1606,76561198279277334,Ted Mosby,https://distribution.faceit-cdn.net/images/3d4a639e-f0be-4d4d-89b0-b6bda53be3c7.jpg,https://www.faceit.com/{lang}/players/-Mazzoni,2020-11-19T22:36:24.178Z,8,1740,1606,2101,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
LaPesteBr,LaPesteBr,8153d00d-4e44-4646-89b8-ba79ef302fad,be,76561198404853215,LaPesteBr,9,1861,76561198404853215,LaPesteBr,https://distribution.faceit-cdn.net/images/89ab6802-dca2-4dfb-b4d9-c724e326bde3.jpeg,https://www.faceit.com/{lang}/players/LaPesteBr,2018-08-23T21:13:07.643Z,9,2131,1861,1901,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
bnilgame,bnilgame,e039371d-f876-464b-a7e7-9d5134f6e21c,br,76561198367233358,BnilgameBRAZIL,6,1235,76561198367233358,Bnilgame,https://distribution.faceit-cdn.net/images/82118b8e-7245-4132-80cd-279895037317.jpg,https://www.faceit.com/{lang}/players/bnilgame,2022-08-28T21:57:09.992Z,6,321,1235,1556,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
SALAZARR-,SALAZARR-,70f82a2d-d863-4763-b18a-faa1cee4f713,ie,76561198861823813,salazar,10,2012,76561198861823813,CR7 DO RODO,https://distribution.faceit-cdn.net/images/b6eb0d9f-61e7-4f8a-b7fc-bcb8330f0f6a.jpg,https://www.faceit.com/{lang}/players/SALAZARR-,2019-03-28T03:59:06.041Z,9,1338,1955,2315,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,SALAZARR-
tuca89,tuca89,6fb741bc-a387-40d6-b24b-29e7d9780853,it,76561197967572421,tuca,3,891,76561197967572421,tuca,https://distribution.faceit-cdn.net/images/629503d9-da0e-430f-9453-563205671e68.jpeg,https://www.faceit.com/{lang}/players/tuca89,2021-03-28T07:50:28.104Z,3,941,891,1052,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
BatmanRessac,BatmanRessac,ae7371e1-ac6b-4238-b2a2-9a40cd0fe722,br,76561198306850744,✪ Batman D. Ressaca ✪,9,1753,76561198306850744,✪ Batman D Ressaca ✪,https://distribution.faceit-cdn.net/images/996962fc-53eb-4b8b-b26e-70472f83665e.jpg,https://www.faceit.com/{lang}/players/BatmanRessac,2020-03-30T00:35:23.525Z,9,487,1903,2163,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
raphash0w,raphash0w,7e1681ad-280a-4ade-90c5-a01c811e456c,br,76561197989338449,raphash0w,9,1993,76561197989338449,raphash0w,https://distribution.faceit-cdn.net/images/d5436f89-5bb9-4448-8fc0-80a6e190d4c3.jpeg,https://www.faceit.com/{lang}/players/raphash0w,2015-06-15T15:43:19.031Z,10,3981,1993,2719,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,
fbr,fbr,0be3b3ec-babb-4743-8e90-0c58a4f13cf8,ir,76561197966572207,éfbiar,10,2140,76561197966572207,fbr,https://distribution.faceit-cdn.net/images/a3471a6c-c861-460d-b8c5-1648d469d6a9.jpg,https://www.faceit.com/{lang}/players/fbr,2016-09-07T20:57:51.841Z,0,1937,2168,2664,FACEIT_TRACKER_CONFIRMED,2026-05-14T00:55:51.174861+00:00,fbr
-wickd-,-wickd-,498970e7-b8f1-45b4-92b1-2fffbc932d9a,nl,76561198075189795,wicked,9,1982,76561198075189795,wickd,https://distribution.faceit-cdn.net/images/98ff7820-f9c7-45ca-afa4-c35cb4e7a611.jpg,https://www.faceit.com/{lang}/players/-wickd-,2014-11-24T17:20:53.536Z,,413,1969,1969,AUTO_UPDATED_CURRENT_ELO,2026-05-31T02:39:38.430772+00:00,
