faceit_nickname,faceit_player_id,match_id,game_id,finished_at,started_at,competition_name,match_type,game_mode,max_players,teams_size
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-4f87e201-8acb-4b67-84a4-6681c2893441,cs2,1777684799,1777681708,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-b974dc93-218b-4685-ac51-631113d27eb5,cs2,1777680840,1777678165,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-2b952b3b-f336-4e63-a800-8cf588def509,cs2,1777677918,1777675820,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-2e976f80-7e8d-45c3-b20e-290763c17963,cs2,1777675585,1777673309,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-65f6ac0f-124c-453c-b19e-cbc91ddc8fd3,cs2,1777594184,1777592356,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-016f146c-7409-4ff5-8bfe-351135aa7dc2,cs2,1777589413,1777586986,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-f6681da2-5741-430c-8e17-8f4c7198efd5,cs2,1777586586,1777584842,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-38f98175-b3b0-4730-bf92-ab1156ff7027,cs2,1777584255,1777581812,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-44cdb73a-2b8d-4880-be18-ff35a9e28ff0,cs2,1777581326,1777578901,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-abddae19-846c-465f-a738-13df13c8166b,cs2,1777504541,1777502735,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-6c0f5fea-fe86-4b50-848d-f890403cf5b7,cs2,1777502006,1777500310,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-04dc69e1-1741-4bb7-a12d-697efc03536c,cs2,1777415770,1777411605,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-e52cc4ef-519a-494b-890c-4ce2f7e2a34e,cs2,1777411008,1777408685,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-9a659642-7806-4396-8678-5dc4ada5722d,cs2,1777327146,1777324580,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-083ec502-72c0-4c84-bcb6-d7c361aebc5b,cs2,1777324234,1777322225,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-b966dfc2-0c10-41a9-8b8e-373d2bf411c4,cs2,1777321641,1777319301,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-885d6d5f-df93-4cc0-977c-1e82b426ef66,cs2,1777240102,1777237568,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-76495940-8204-447c-b4f4-2a33bf37d980,cs2,1777236740,1777234615,Europe 5v5 Queue,,5v5,10,5
